"","x","y","cellType"
"147",68.2518628912072,198.469448584203,"Keratin+ Tumour"
"148",59.7521367521367,1889.26923076923,"Immune"
"149",70.8125,633.396428571429,"Immune"
"150",66.7523510971787,1088.72727272727,"Immune"
"152",62.2267002518892,1833.50125944584,"Immune"
"153",63.9289099526066,1851.48341232227,"Immune"
"154",73.4871520342612,1113.94111349036,"Immune"
"155",63.6568914956012,1273.52492668622,"Immune"
"156",71.8244972577697,1322.33363802559,"Endothelial"
"157",65.5426195426195,1949.81081081081,"Immune"
"158",74.5866834170854,246.007537688442,"Keratin+ Tumour"
"160",63.7188498402556,1436.41533546326,"Keratin+ Tumour"
"161",70.5592783505155,1905.18556701031,"Immune"
"162",67.1572164948454,443.067010309278,"Keratin+ Tumour"
"163",68.7025440313111,723.894324853229,"Immune"
"164",65.5606060606061,859.401515151515,"Immune"
"165",71.4562146892655,882.033898305085,"Immune"
"166",71.9325626204239,355.487475915222,"Immune"
"167",72.4390243902439,497.745011086475,"Immune"
"168",71.6608187134503,797.25730994152,"Immune"
"170",76.3103448275862,650.415708812261,"Immune"
"171",68.5401459854015,779.102189781022,"Immune"
"172",63.9726775956284,1527.20765027322,"Immune"
"173",67.6363636363636,30.9090909090909,"Keratin+ Tumour"
"174",76.8971428571429,1352.01333333333,"Endothelial"
"175",72.9055649241147,1787.4502529511,"Immune"
"176",69.6057692307692,167.805288461538,"p53+Tumour"
"179",77.5949367088608,969.333860759494,"Immune"
"180",80.0641361256545,996.878272251309,"Immune"
"181",72.1862567811935,1648.67088607595,"Immune"
"183",82.6646126760563,1471.30633802817,"Keratin+ Tumour"
"184",73.9621212121212,559.958333333333,"Immune"
"185",77.8677884615385,218.853365384615,"Keratin+ Tumour"
"186",82.8388998035363,759.498035363458,"Immune"
"188",75.5218446601942,601.276699029126,"Immune"
"189",78.5734126984127,939.607142857143,"Immune"
"190",79.2769857433809,1370.15071283096,"Immune"
"191",75.2934782608696,1725.07608695652,"Immune"
"192",79.4065934065934,1748.14913657771,"Immune"
"193",72.5436105476673,42.8600405679513,"Keratin+ Tumour"
"194",80.8801369863014,333.082191780822,"Immune"
"195",83.1739631336406,465.205069124424,"Keratin+ Tumour"
"197",76.3753943217666,818.728706624606,"Immune"
"198",76.6374407582938,836.781990521327,"Immune"
"201",79.9505376344086,1887,"Immune"
"202",75.2523020257827,141.204419889503,"Keratin+ Tumour"
"204",84.0557768924303,1443.69986719788,"Keratin+ Tumour"
"205",75.6619047619048,1536.75238095238,"Immune"
"206",74.7388724035608,575.608308605341,"Immune"
"207",79.4812030075188,703.273182957393,"Immune"
"208",76.7561779242175,1262.9802306425,"Immune"
"209",78.9736842105263,1988.48684210526,"Immune"
